"lon" "lat" "date" "t_avg"
13.8499 45.7499 1950-04-21 15.6999996490777
13.8499 45.7499 1950-04-22 12.6999997161329
13.8499 45.7499 1950-04-23 10.8399997577071
13.8499 45.7499 1950-04-24 10.2099997717887
13.8499 45.7499 1950-04-25 8.31999981403351
13.8499 45.7499 1950-04-26 8.47999981045723
13.8499 45.7499 1950-04-27 9.1299997959286
13.8499 45.7499 1950-04-28 9.02999979816377
13.8499 45.7499 1950-04-29 11.3999997451901
13.8499 45.7499 1950-04-30 13.6399996951222
13.8499 45.7499 1950-05-01 13.4599996991456
13.8499 45.7499 1950-05-02 14.4699996765703
13.8499 45.7499 1950-05-03 15.4899996537715
13.8499 45.7499 1950-05-04 14.5899996738881
13.8499 45.7499 1950-05-05 14.3299996796995
13.8499 45.7499 1950-05-06 15.3699996564537
13.8499 45.7499 1950-05-07 14.4899996761233
13.8499 45.7499 1950-05-08 16.1399996392429
13.8499 45.7499 1950-05-09 16.8699996229261
13.8499 45.7499 1950-05-10 16.079999640584
13.8499 45.7499 1950-05-11 14.8699996676296
13.8499 45.7499 1950-05-12 14.3299996796995
13.8499 45.7499 1950-05-13 15.7299996484071
13.8499 45.7499 1950-05-14 14.3899996783584
13.8499 45.7499 1950-05-15 15.9399996437132
13.8499 45.7499 1950-05-16 15.3199996575713
13.8499 45.7499 1950-05-17 15.6699996497482
13.8499 45.7499 1950-05-18 15.9799996428192
13.8499 45.7499 1950-05-19 15.3899996560067
13.8499 45.7499 1950-05-20 17.6199996061623
13.8499 45.7499 1950-05-21 19.9699995536357
13.8499 45.7499 1950-05-22 19.8799995556474
13.8499 45.7499 1950-05-23 21.0999995283782
13.8499 45.7499 1950-05-24 20.8099995348603
13.8499 45.7499 1950-05-25 21.0599995292723
13.8499 45.7499 1950-05-26 20.0399995520711
13.8499 45.7499 1950-05-27 17.8299996014684
13.8499 45.7499 1950-05-28 16.5499996300787
13.8499 45.7499 1950-05-29 14.5499996747822
13.8499 45.7499 1950-05-30 17.5799996070564
13.8499 45.7499 1950-05-31 18.6599995829165
13.8499 45.7499 1950-06-01 17.3299996126443
13.8499 45.7499 1950-06-02 16.7099996265024
13.8499 45.7499 1950-06-03 18.6599995829165
13.8499 45.7499 1950-06-04 19.0399995744228
13.8499 45.7499 1950-06-05 19.6299995612353
13.8499 45.7499 1950-06-06 19.9999995529652
13.8499 45.7499 1950-06-07 20.9899995308369
13.8499 45.7499 1950-06-08 22.1199995055795
13.8499 45.7499 1950-06-09 21.9299995098263
13.8499 45.7499 1950-06-10 20.8099995348603
13.8499 45.7499 1950-06-11 21.3799995221198
13.8499 45.7499 1950-06-12 21.6199995167553
13.8499 45.7499 1950-06-13 22.5399994961917
13.8499 45.7499 1950-06-14 19.0399995744228
13.8499 45.7499 1950-06-15 20.4499995429069
13.8499 45.7499 1950-06-16 21.4499995205551
13.8499 45.7499 1950-06-17 20.2899995464832
13.8499 45.7499 1950-06-18 16.909999622032
13.8499 45.7499 1950-06-19 20.079999551177
13.8499 45.7499 1950-06-20 21.6699995156378
13.8499 45.7499 1950-06-21 20.9899995308369
13.8499 45.7499 1950-06-22 20.4299995433539
13.8499 45.7499 1950-06-23 19.829999556765
13.8499 45.7499 1950-06-24 19.6599995605648
13.8499 45.7499 1950-06-25 19.3099995683879
13.8499 45.7499 1950-06-26 19.3099995683879
13.8499 45.7499 1950-06-27 20.6999995373189
13.8499 45.7499 1950-06-28 22.4299994986504
13.8499 45.7499 1950-06-29 24.699999447912
13.8499 45.7499 1950-06-30 25.6899994257838
13.8499 45.7499 1950-07-01 26.1699994150549
13.8499 45.7499 1950-07-02 26.7399994023144
13.8499 45.7499 1950-07-03 26.9099993985146
13.8499 45.7499 1950-07-04 26.4399994090199
13.8499 45.7499 1950-07-05 27.289999390021
13.8499 45.7499 1950-07-06 26.4999994076788
13.8499 45.7499 1950-07-07 21.9799995087087
13.8499 45.7499 1950-07-08 21.3199995234609
13.8499 45.7499 1950-07-09 21.8799995109439
13.8499 45.7499 1950-07-10 22.2999995015562
13.8499 45.7499 1950-07-11 20.2799995467067
13.8499 45.7499 1950-07-12 21.0399995297194
13.8499 45.7499 1950-07-13 22.7699994910508
13.8499 45.7499 1950-07-14 23.9199994653463
13.8499 45.7499 1950-07-15 18.3099995907396
13.8499 45.7499 1950-07-16 19.4499995652586
13.8499 45.7499 1950-07-17 21.9499995093793
13.8499 45.7499 1950-07-18 23.4199994765222
13.8499 45.7499 1950-07-19 25.0999994389713
13.8499 45.7499 1950-07-20 24.5299994517118
13.8499 45.7499 1950-07-21 24.3099994566292
13.8499 45.7499 1950-07-22 25.6099994275719
13.8499 45.7499 1950-07-23 25.1799994371831
13.8499 45.7499 1950-07-24 21.1599995270371
13.8499 45.7499 1950-07-25 22.5099994968623
13.8499 45.7499 1950-07-26 24.0499994624406
13.8499 45.7499 1950-07-27 24.2799994572997
13.8499 45.7499 1950-07-28 24.0799994617701
13.8499 45.7499 1950-07-29 22.2699995022267
13.8499 45.7499 1950-07-30 21.9499995093793
13.8499 45.7499 1950-07-31 20.2199995480478
13.8499 45.7499 1950-08-01 21.9999995082617
13.8499 45.7499 1950-08-02 22.1499995049089
13.8499 45.7499 1950-08-03 17.0499996189028
13.8499 45.7499 1950-08-04 16.5999996289611
13.8499 45.7499 1950-08-05 19.1799995712936
13.8499 45.7499 1950-08-06 19.8599995560944
13.8499 45.7499 1950-08-07 20.4199995435774
13.8499 45.7499 1950-08-08 20.7999995350838
13.8499 45.7499 1950-08-09 22.7999994903803
13.8499 45.7499 1950-08-10 22.4599994979799
13.8499 45.7499 1950-08-11 22.7599994912744
13.8499 45.7499 1950-08-12 22.1699995044619
13.8499 45.7499 1950-08-13 21.3799995221198
13.8499 45.7499 1950-08-14 20.6199995391071
13.8499 45.7499 1950-08-15 20.679999537766
13.8499 45.7499 1950-08-16 19.2699995692819
13.8499 45.7499 1950-08-17 20.1799995489419
13.8499 45.7499 1950-08-18 19.7299995590001
13.8499 45.7499 1950-08-19 19.6199995614588
13.8499 45.7499 1950-08-20 20.5399995408952
13.8499 45.7499 1950-08-21 21.1899995263666
13.8499 45.7499 1950-08-22 21.5199995189905
13.8499 45.7499 1950-08-23 22.6299994941801
13.8499 45.7499 1950-08-24 23.9799994640052
13.8499 45.7499 1950-08-25 24.1499994602054
13.8499 45.7499 1950-08-26 24.0899994615465
13.8499 45.7499 1950-08-27 23.8999994657934
13.8499 45.7499 1950-08-28 24.3199994564056
13.8499 45.7499 1950-08-29 22.2599995024502
13.8499 45.7499 1950-08-30 21.9099995102733
