"lon" "lat" "date" "p_sum"
13.8499 45.7499 1950-05-14 0
13.8499 45.7499 1950-05-15 0
13.8499 45.7499 1950-05-16 0
13.8499 45.7499 1950-05-17 0
13.8499 45.7499 1950-05-18 1.60000002384186
13.8499 45.7499 1950-05-19 9.3000001385808
13.8499 45.7499 1950-05-20 0
13.8499 45.7499 1950-05-21 0
13.8499 45.7499 1950-05-22 0
13.8499 45.7499 1950-05-23 0
13.8499 45.7499 1950-05-24 0
13.8499 45.7499 1950-05-25 0
13.8499 45.7499 1950-05-26 0
13.8499 45.7499 1950-05-27 2.60000003874302
13.8499 45.7499 1950-05-28 22.0000003278255
13.8499 45.7499 1950-05-29 0
13.8499 45.7499 1950-05-30 0
13.8499 45.7499 1950-05-31 0
13.8499 45.7499 1950-06-01 3.1000000461936
13.8499 45.7499 1950-06-02 0
13.8499 45.7499 1950-06-03 0
13.8499 45.7499 1950-06-04 0
13.8499 45.7499 1950-06-05 0
13.8499 45.7499 1950-06-06 0
13.8499 45.7499 1950-06-07 0
13.8499 45.7499 1950-06-08 0
13.8499 45.7499 1950-06-09 0
13.8499 45.7499 1950-06-10 2.70000004023314
13.8499 45.7499 1950-06-11 0
13.8499 45.7499 1950-06-12 0
13.8499 45.7499 1950-06-13 5.90000008791685
13.8499 45.7499 1950-06-14 12.0000001788139
13.8499 45.7499 1950-06-15 3.30000004917383
13.8499 45.7499 1950-06-16 4.30000006407499
13.8499 45.7499 1950-06-17 10.6000001579523
13.8499 45.7499 1950-06-18 7.90000011771917
13.8499 45.7499 1950-06-19 0
13.8499 45.7499 1950-06-20 0
13.8499 45.7499 1950-06-21 1.20000001788139
13.8499 45.7499 1950-06-22 0
13.8499 45.7499 1950-06-23 0
13.8499 45.7499 1950-06-24 0
13.8499 45.7499 1950-06-25 5.20000007748604
13.8499 45.7499 1950-06-26 16.400000244379
13.8499 45.7499 1950-06-27 0
13.8499 45.7499 1950-06-28 0
13.8499 45.7499 1950-06-29 0
13.8499 45.7499 1950-06-30 0
13.8499 45.7499 1950-07-01 0
13.8499 45.7499 1950-07-02 0
13.8499 45.7499 1950-07-03 0
13.8499 45.7499 1950-07-04 0
13.8499 45.7499 1950-07-05 0
13.8499 45.7499 1950-07-06 0
13.8499 45.7499 1950-07-07 13.0000001937151
13.8499 45.7499 1950-07-08 0
13.8499 45.7499 1950-07-09 0
13.8499 45.7499 1950-07-10 7.90000011771917
13.8499 45.7499 1950-07-11 0
13.8499 45.7499 1950-07-12 1.00000001490116
13.8499 45.7499 1950-07-13 0
13.8499 45.7499 1950-07-14 3.50000005215406
13.8499 45.7499 1950-07-15 17.2000002563
13.8499 45.7499 1950-07-16 0
13.8499 45.7499 1950-07-17 0
13.8499 45.7499 1950-07-18 0
13.8499 45.7499 1950-07-19 0
13.8499 45.7499 1950-07-20 0
13.8499 45.7499 1950-07-21 0
13.8499 45.7499 1950-07-22 0
13.8499 45.7499 1950-07-23 3.90000005811453
13.8499 45.7499 1950-07-24 3.1000000461936
13.8499 45.7499 1950-07-25 0
13.8499 45.7499 1950-07-26 0
13.8499 45.7499 1950-07-27 0
13.8499 45.7499 1950-07-28 3.30000004917383
13.8499 45.7499 1950-07-29 6.00000008940697
13.8499 45.7499 1950-07-30 0
13.8499 45.7499 1950-07-31 3.30000004917383
13.8499 45.7499 1950-08-01 21.500000320375
13.8499 45.7499 1950-08-02 10.300000153482
13.8499 45.7499 1950-08-03 20.5000003054738
13.8499 45.7499 1950-08-04 0
13.8499 45.7499 1950-08-05 0
13.8499 45.7499 1950-08-06 0
13.8499 45.7499 1950-08-07 0
13.8499 45.7499 1950-08-08 0
13.8499 45.7499 1950-08-09 0
13.8499 45.7499 1950-08-10 0
13.8499 45.7499 1950-08-11 0
13.8499 45.7499 1950-08-12 0
13.8499 45.7499 1950-08-13 0
13.8499 45.7499 1950-08-14 0
13.8499 45.7499 1950-08-15 12.6000001877546
13.8499 45.7499 1950-08-16 0
13.8499 45.7499 1950-08-17 17.9000002667308
13.8499 45.7499 1950-08-18 17.5000002607703
13.8499 45.7499 1950-08-19 0
13.8499 45.7499 1950-08-20 0
13.8499 45.7499 1950-08-21 0
13.8499 45.7499 1950-08-22 0
13.8499 45.7499 1950-08-23 0
13.8499 45.7499 1950-08-24 0
13.8499 45.7499 1950-08-25 0
13.8499 45.7499 1950-08-26 0
13.8499 45.7499 1950-08-27 0
13.8499 45.7499 1950-08-28 0
13.8499 45.7499 1950-08-29 0
13.8499 45.7499 1950-08-30 0
13.8499 45.7499 1950-08-31 0
13.8499 45.7499 1950-09-01 23.0000003427267
13.8499 45.7499 1950-09-02 0
13.8499 45.7499 1950-09-03 12.1000001803041
13.8499 45.7499 1950-09-04 5.30000007897615
13.8499 45.7499 1950-09-05 0
13.8499 45.7499 1950-09-06 0
13.8499 45.7499 1950-09-07 0
13.8499 45.7499 1950-09-08 0
13.8499 45.7499 1950-09-09 0
13.8499 45.7499 1950-09-10 0
13.8499 45.7499 1950-09-11 0
13.8499 45.7499 1950-09-12 0
13.8499 45.7499 1950-09-13 0
13.8499 45.7499 1950-09-14 0
13.8499 45.7499 1950-09-15 9.00000013411045
13.8499 45.7499 1950-09-16 23.2000003457069
13.8499 45.7499 1950-09-17 0
13.8499 45.7499 1950-09-18 0
13.8499 45.7499 1950-09-19 0
13.8499 45.7499 1950-09-20 2.20000003278255
13.8499 45.7499 1950-09-21 18.9000002816319
13.8499 45.7499 1950-09-22 0
13.8499 45.7499 1950-09-23 0
13.8499 45.7499 1950-09-24 0
13.8499 45.7499 1950-09-25 0
13.8499 45.7499 1950-09-26 13.9000002071261
13.8499 45.7499 1950-09-27 6.70000009983778
13.8499 45.7499 1950-09-28 0
13.8499 45.7499 1950-09-29 0
13.8499 45.7499 1950-09-30 8.90000013262033
13.8499 45.7499 1950-10-01 17.1000002548099
13.8499 45.7499 1950-10-02 7.50000011175871
13.8499 45.7499 1950-10-03 5.10000007599592
13.8499 45.7499 1950-10-04 0
13.8499 45.7499 1950-10-05 0
13.8499 45.7499 1950-10-06 0
13.8499 45.7499 1950-10-07 0
13.8499 45.7499 1950-10-08 0
13.8499 45.7499 1950-10-09 0
13.8499 45.7499 1950-10-10 0
13.8499 45.7499 1950-10-11 3.30000004917383
13.8499 45.7499 1950-10-12 0
13.8499 45.7499 1950-10-13 0
13.8499 45.7499 1950-10-14 0
13.8499 45.7499 1950-10-15 0
13.8499 45.7499 1950-10-16 0
13.8499 45.7499 1950-10-17 0
13.8499 45.7499 1950-10-18 0
13.8499 45.7499 1950-10-19 0
13.8499 45.7499 1950-10-20 0
13.8499 45.7499 1950-10-21 0
13.8499 45.7499 1950-10-22 0
13.8499 45.7499 1950-10-23 0
13.8499 45.7499 1950-10-24 4.30000006407499
13.8499 45.7499 1950-10-25 15.7000002339482
13.8499 45.7499 1950-10-26 15.4000002294779
13.8499 45.7499 1950-10-27 5.80000008642673
13.8499 45.7499 1950-10-28 7.60000011324883
13.8499 45.7499 1950-10-29 0
13.8499 45.7499 1950-10-30 3.50000005215406
13.8499 45.7499 1950-10-31 5.50000008195639
13.8499 45.7499 1950-11-01 0
13.8499 45.7499 1950-11-02 0
13.8499 45.7499 1950-11-03 26.6000003963709
13.8499 45.7499 1950-11-04 7.10000010579824
13.8499 45.7499 1950-11-05 0
13.8499 45.7499 1950-11-06 0
13.8499 45.7499 1950-11-07 0
13.8499 45.7499 1950-11-08 0
13.8499 45.7499 1950-11-09 0
13.8499 45.7499 1950-11-10 0
13.8499 45.7499 1950-11-11 2.10000003129244
13.8499 45.7499 1950-11-12 6.50000009685755
13.8499 45.7499 1950-11-13 10.8000001609325
13.8499 45.7499 1950-11-14 11.4000001698732
13.8499 45.7499 1950-11-15 0
13.8499 45.7499 1950-11-16 3.90000005811453
13.8499 45.7499 1950-11-17 7.50000011175871
13.8499 45.7499 1950-11-18 0
13.8499 45.7499 1950-11-19 4.60000006854534
13.8499 45.7499 1950-11-20 17.0000002533197
13.8499 45.7499 1950-11-21 0
13.8499 45.7499 1950-11-22 12.3000001832843
13.8499 45.7499 1950-11-23 3.20000004768372
13.8499 45.7499 1950-11-24 5.6000000834465
13.8499 45.7499 1950-11-25 0
13.8499 45.7499 1950-11-26 9.3000001385808
13.8499 45.7499 1950-11-27 0
13.8499 45.7499 1950-11-28 0
13.8499 45.7499 1950-11-29 7.90000011771917
13.8499 45.7499 1950-11-30 0
13.8499 45.7499 1950-12-01 0
13.8499 45.7499 1950-12-02 0
13.8499 45.7499 1950-12-03 11.3000001683831
13.8499 45.7499 1950-12-04 19.9000002965331
13.8499 45.7499 1950-12-05 6.8000001013279
13.8499 45.7499 1950-12-06 16.400000244379
13.8499 45.7499 1950-12-07 9.3000001385808
13.8499 45.7499 1950-12-08 0
13.8499 45.7499 1950-12-09 4.70000007003546
13.8499 45.7499 1950-12-10 6.40000009536743
13.8499 45.7499 1950-12-11 14.7000002190471
13.8499 45.7499 1950-12-12 7.10000010579824
13.8499 45.7499 1950-12-13 5.90000008791685
13.8499 45.7499 1950-12-14 23.7000003531575
13.8499 45.7499 1950-12-15 9.60000014305115
13.8499 45.7499 1950-12-16 11.3000001683831
13.8499 45.7499 1950-12-17 8.40000012516975
13.8499 45.7499 1950-12-18 7.90000011771917
13.8499 45.7499 1950-12-19 0
13.8499 45.7499 1950-12-20 0
13.8499 45.7499 1950-12-21 0
13.8499 45.7499 1950-12-22 11.6000001728535
13.8499 45.7499 1950-12-23 4.90000007301569
13.8499 45.7499 1950-12-24 8.10000012069941
13.8499 45.7499 1950-12-25 9.50000014156103
13.8499 45.7499 1950-12-26 3.00000004470348
13.8499 45.7499 1950-12-27 0
13.8499 45.7499 1950-12-28 0
13.8499 45.7499 1950-12-29 0
13.8499 45.7499 1950-12-30 0
13.8499 45.7499 1950-12-31 0
13.8499 45.7499 1951-01-01 4.10000006109476
13.8499 45.7499 1951-01-02 12.5000001862645
13.8499 45.7499 1951-01-03 8.00000011920929
13.8499 45.7499 1951-01-04 7.20000010728836
13.8499 45.7499 1951-01-05 0
13.8499 45.7499 1951-01-06 0
13.8499 45.7499 1951-01-07 0
13.8499 45.7499 1951-01-08 0
13.8499 45.7499 1951-01-09 0
