"","Y","M","D","Tmax"
"11104",1950,5,26,24.0599994622171
"11105",1950,5,27,19.9299995545298
"11106",1950,5,28,20.7299995366484
"11107",1950,5,29,16.4099996332079
"11108",1950,5,30,20.4699995424598
"11109",1950,5,31,18.2899995911866
"11110",1950,6,1,16.1399996392429
"11111",1950,6,2,18.5399995855987
"11112",1950,6,3,22.0399995073676
"11113",1950,6,4,25.2899994347245
"11114",1950,6,5,26.3599994108081
"11115",1950,6,6,27.4099993873388
"11116",1950,6,7,25.5399994291365
"11117",1950,6,8,28.3599993661046
"11118",1950,6,9,27.4399993866682
"11119",1950,6,10,18.2099995929748
"11120",1950,6,11,15.3299996573478
"11121",1950,6,12,16.9599996209145
"11122",1950,6,13,22.08999950625
"11123",1950,6,14,26.149999415502
"11124",1950,6,15,25.8999994210899
"11125",1950,6,16,27.1099993940443
"11126",1950,6,17,25.6299994271249
"11127",1950,6,18,21.9099995102733
"11128",1950,6,19,22.6999994926155
"11129",1950,6,20,24.8199994452298
"11130",1950,6,21,26.2099994141608
"11131",1950,6,22,25.1499994378537
"11132",1950,6,23,22.0599995069206
"11133",1950,6,24,19.6899995598942
"11134",1950,6,25,19.3499995674938
"11135",1950,6,26,20.8899995330721
"11136",1950,6,27,20.9199995324016
"11137",1950,6,28,22.2699995022267
"11138",1950,6,29,21.2699995245785
"11139",1950,6,30,29.3199993446469
"11140",1950,7,1,27.6599993817508
"11141",1950,7,2,24.3299994561821
"11142",1950,7,3,24.699999447912
"11143",1950,7,4,24.0399994626641
"11144",1950,7,5,22.9099994879216
"11145",1950,7,6,23.6599994711578
"11146",1950,7,7,21.8899995107204
"11147",1950,7,8,20.8999995328486
"11148",1950,7,9,23.2199994809926
"11149",1950,7,10,26.1599994152784
"11150",1950,7,11,24.5199994519353
"11151",1950,7,12,22.0399995073676
"11152",1950,7,13,20.4599995426834
"11153",1950,7,14,21.3399995230138
"11154",1950,7,15,21.9299995098263
"11155",1950,7,16,22.1499995049089
"11156",1950,7,17,26.109999416396
"11157",1950,7,18,26.8999993987381
"11158",1950,7,19,24.7499994467944
"11159",1950,7,20,23.3699994776398
"11160",1950,7,21,25.0899994391948
"11161",1950,7,22,27.4499993864447
"11162",1950,7,23,29.9899993296713
"11163",1950,7,24,24.7099994476885
"11164",1950,7,25,20.4799995422363
"11165",1950,7,26,22.5799994952977
"11166",1950,7,27,24.3999994546175
"11167",1950,7,28,20.5499995406717
"11168",1950,7,29,20.6999995373189
"11169",1950,7,30,19.7399995587766
"11170",1950,7,31,20.9799995310605
"11171",1950,8,1,22.8099994901568
"11172",1950,8,2,26.2699994128197
"11173",1950,8,3,21.6399995163083
"11174",1950,8,4,18.359999589622
